Constituency Name,Votes,Cons,Lab,LD,Other,Percentage Yes,No qualifications,Level 1 qualifications,Level 2 qualifications,Apprenticeship,Level 3 qualifications,Level 4 qualifications and above,Other qualifications,Age: Mean Age; measures: Value,Age: Median Age; measures: Value
Corby,54236,22886.0,20991.0,7834.0,82720.0,28.2,24.7,15.7,17.3,4.1,11.3,20.7,6.3,39.0,40.0
Crawley,47504,21264.0,15336.0,6844.0,79019.0,28.3,20.1,18.0,17.1,3.4,11.3,21.5,8.5,36.8,35.0
Cynon Valley,29876,3010.0,15681.0,4120.0,59899.0,36.9,33.8,14.7,16.2,3.5,10.4,17.4,4.0,39.8,40.0
Darlington,42896,13503.0,16891.0,10046.0,72810.0,28.3,26.0,13.7,16.0,5.1,12.7,22.0,4.5,39.8,40.0
Dartford,50080,24428.0,13800.0,7361.0,82949.0,25.3,21.1,17.2,18.1,4.3,11.5,22.3,5.4,38.3,38.0
Daventry,51774,29252.0,8168.0,10064.0,77930.0,24.8,19.2,14.7,17.0,4.6,11.7,28.6,4.2,41.2,43.0
Delyn,36984,12811.0,15083.0,5747.0,59002.0,30.8,24.5,14.8,16.7,4.5,11.5,23.8,4.1,41.6,43.0
Derbyshire Dales,46780,24378.0,9061.0,10512.0,68398.0,29.6,21.4,11.8,14.9,3.5,11.0,33.8,3.7,44.7,47.0
Dover,50385,22174.0,16900.0,7962.0,77393.0,26.5,25.5,15.0,17.7,3.6,12.2,20.7,5.3,41.8,43.0
Dwyfor Meirionnydd,28906,6447.0,4021.0,3538.0,62481.0,35.9,25.3,12.9,17.6,4.1,11.0,25.0,4.2,45.0,47.0
Eastbourne,52124,21223.0,2497.0,24658.0,83821.0,30.4,23.4,13.7,16.6,3.6,12.5,24.4,5.7,43.3,43.0
Eastleigh,53650,21102.0,5153.0,24966.0,82101.0,30.9,18.5,14.9,17.4,5.8,13.5,26.0,4.0,39.5,40.0
Epping Forest,46584,25148.0,6641.0,10017.0,79213.0,23.2,23.5,15.4,16.1,3.1,11.1,26.3,4.6,40.6,41.0
Erewash,47642,18805.0,16304.0,8343.0,76096.0,25.6,26.9,15.9,16.7,5.2,12.4,18.9,4.1,40.2,41.0
Exeter,52247,17221.0,19942.0,10581.0,83915.0,39.0,18.5,12.5,13.9,3.1,18.9,27.9,5.2,37.7,34.0
Fareham,54345,30037.0,7719.0,12945.0,81815.0,24.7,17.4,13.3,17.2,5.5,13.5,29.5,3.6,41.9,43.0
Forest of Dean,48763,22853.0,11789.0,10676.0,74128.0,29.6,24.1,14.2,16.8,4.5,12.0,24.6,3.9,43.1,45.0
Fylde,43690,22826.0,8624.0,9641.0,70791.0,23.6,20.8,12.0,16.6,4.3,12.4,30.0,4.0,44.4,46.0
Gateshead,38257,5716.0,20712.0,8163.0,72427.0,26.8,30.5,14.3,14.9,4.6,10.7,20.7,4.4,38.8,37.0
Gedling,48190,17962.0,19821.0,7350.0,76193.0,28.6,23.9,14.1,15.9,4.5,13.1,24.3,4.1,40.8,41.0
Gloucester,50764,20267.0,17847.0,9767.0,84484.0,28.7,22.2,16.2,17.1,4.2,13.0,21.8,5.4,37.9,37.0
Gosport,46939,24300.0,7944.0,9887.0,79906.0,23.3,21.2,15.5,17.8,5.1,13.3,23.0,4.2,40.8,41.0
Gower,41671,13333.0,16016.0,7947.0,68354.0,34.7,20.3,11.9,16.6,4.7,11.4,31.7,3.5,42.7,44.0
Gravesham,47303,22956.0,13644.0,6293.0,76890.0,27.3,24.4,16.4,17.0,4.3,11.1,20.0,7.0,38.7,39.0
Great Yarmouth,43057,18571.0,14295.0,6188.0,76605.0,24.8,32.8,15.7,16.1,4.7,10.6,14.2,5.9,42.1,43.0
Guildford,55567,29618.0,2812.0,21836.0,80672.0,31.0,13.6,9.9,13.1,2.6,14.9,40.6,5.3,38.7,37.0
Halton,41338,8339.0,23843.0,5718.0,74579.0,28.1,27.2,16.6,18.4,4.0,12.6,17.4,3.7,39.2,39.0
Harborough,54945,26894.0,6981.0,17097.0,84191.0,25.7,20.9,13.2,15.6,4.3,13.4,27.7,4.8,41.2,42.0
Harlow,43878,19691.0,14766.0,5990.0,73316.0,26.4,25.7,18.4,17.2,3.7,11.2,18.4,5.4,38.7,38.0
Hartlepool,38242,10758.0,16267.0,6533.0,75917.0,23.1,30.7,13.5,16.2,5.5,12.5,17.6,4.0,39.8,40.0
Havant,43903,22433.0,7777.0,10273.0,75391.0,23.0,26.1,14.7,16.9,4.5,11.8,22.2,3.9,42.1,43.0
Hertsmere,47270,26476.0,8871.0,8210.0,79091.0,23.5,19.4,14.1,15.8,2.9,11.2,30.8,5.8,39.4,39.0
High Peak,50337,20587.0,15910.0,10993.0,76629.0,32.6,20.9,13.1,16.0,4.0,13.1,29.4,3.5,41.1,43.0
Horsham,55841,29447.0,4189.0,17987.0,84111.0,30.7,15.6,13.7,18.0,3.4,13.0,32.2,4.1,40.5,42.0
Hyndburn,42672,14441.0,17531.0,5033.0,75225.0,25.6,27.6,13.9,16.3,5.3,12.5,19.5,4.9,38.7,39.0
Ipswich,46941,18371.0,16292.0,8556.0,81834.0,30.1,24.9,15.7,16.2,3.6,11.5,21.8,6.4,37.7,36.0
Isle of Wight,70264,32810.0,8169.0,22283.0,119267.0,25.6,24.3,14.6,16.8,5.0,12.2,22.6,4.5,44.4,46.0
