Constituency Name,Percentage.Con,Percentage.Lab,Percentage.LD,Percentage.Other
Aberavon,14.248336455843399,51.91872860003877,16.260740357904258,17.57219458621358
Aberconwy,35.820596676233066,24.481078555696456,19.30854968964827,20.38977507842221
Aberdeen North,12.376329540330495,44.41791994907297,18.569799209570036,24.6359513010265
Aberdeen South,20.713854161825534,36.53390342519868,28.386856903843473,14.365385509132315
Aberdeenshire West & Kincardine,30.264409779842904,13.627613674078992,38.415753955083524,17.69222259099458
Airdrie & Shotts,8.739434851739238,58.157828670255796,8.08390750090658,25.018828977098384
Aldershot,46.71910805570245,12.094570773841001,34.41080557024502,6.775515600211528
Aldridge-Brownhills,59.30786353988715,19.793446187296166,17.68649376197132,3.212196510845369
Altrincham & Sale West,48.94620695240216,22.418156418925758,25.47122061830624,3.164416010365841
Alyn & Deeside,32.274628660170826,39.58620344162513,18.305237582346017,9.833930315858026
Amber Valley,38.61351668915096,37.4472344314374,14.439270638408983,9.499978241002655
Angus,30.922023182297153,17.215489989462593,10.77449947312961,41.08798735511064
Arfon,16.933813942787022,30.401104379170178,14.057826520438685,38.60725515760411
Argyll & Bute,24.025040369854224,22.7265688941978,31.614572964363923,21.633817771584045
Arundel & South Downs,57.75606444928727,8.636704655067701,27.94112393269265,5.6661069629523775
Ashfield,22.196862810191718,33.693667524275874,33.295294215287576,10.814175450244834
Ashford,54.14152396484552,16.67844522968198,22.797861737791067,6.382169067681436
Ashton Under Lyne,24.745004163197333,48.40757701915071,14.839196502914238,12.008222314737719
Aylesbury,52.17260449193033,12.593581881795268,28.437605808660322,6.796207817614085
"Ayr, Carrick & Cumnock",25.53984267753252,47.1357287603774,9.291177303728237,18.03325125836184
Ayrshire Central,20.364340202664238,47.70579528634863,11.92303313218718,20.006831378799955
Ayrshire North & Arran,15.638823835545146,47.40220313990805,10.03989938416168,26.919073640385115
Banbury,52.813783538699525,19.15506481036966,20.405042584591314,7.626109066339504
Banff & Buchan,30.783029168616437,13.991576977070661,11.347683668694431,43.87771018561847
Barking,17.80429173191011,54.3148887369605,8.20192753015901,19.67889200097038
Barnsley Central,17.2643982595065,47.26088484095025,17.28061403745845,18.194102862084808
Barnsley East,16.48778200385557,47.04579794716824,18.155056531026936,18.311363517949253
Barrow & Furness,36.3022391442299,48.105339497778985,10.026289547638473,5.566131810352642
Basildon & Billericay,52.7364141547788,23.055642425846184,15.728066588082465,8.47987683129255
Basildon South & Thurrock East,43.8672180619202,30.964569129317088,13.360903096009835,11.807309712752879
Basingstoke,50.51920874955581,20.387333675524143,24.50744265013622,4.586014924783828
Bassetlaw,33.89273251709462,50.46291627165823,11.235048510397966,4.409302700849184
Bath,31.363887355052455,6.9043877160939555,56.60068810262074,5.131036826232851
Batley & Spen,33.57334324678628,42.19413410553914,15.838697685339175,8.393824962335401
Battersea,47.34997540580423,35.10001639613051,14.7073290703394,2.8426791277258565
Beaconsfield,61.06496475519146,11.687940560106687,19.567536673652125,7.679558011049724
Beckenham,57.87233150190831,14.454976303317535,20.578366816256345,7.094325378517804
Bedford,38.90293113387433,35.90306416566893,19.859429737040486,5.334574963416257
Bedfordshire Mid,52.48920706049511,14.769477384920851,24.888427418620328,7.852888135963713
Bedfordshire North East,55.78377016129033,16.123631912442395,21.685987903225808,6.406610023041474
Bedfordshire South West,52.81246307165085,19.592704927718913,20.0220585338953,7.572773466734943
